1387	123
1388	140
1389	162
138th	84
139	1034
1390	246
1391	88
1392	162
1393	98
1394	124
1395	138
1396	132
1397	129
1398	151
1399	137
139th	61
13km	52
13s	49
13th	7765
14	48005
140	3676
1400	1126
14000	32
14001	48
1400s	101
1401	133
1402	169
1403	126
1404	140
1405	148
1406	118
1407	89
1408	134
1409	108
140th	86
141	1202
1410	246
1411	90
1412	104
1413	129
1414	99
1415	188
1416	94
1417	112
1418	120
1419	132
141st	78
142	1174
1420	318
1421	120
1422	141
1423	104
1424	112
1425	147
1426	101
1427	90
1428	114
1429	125
142nd	54
143	1075
1430	270
1431	137
1432	91
1433	105
1434	101
1435	174
1436	119
1437	109
1438	94
1439	123
143rd	66
144	1247
1440	270
1441	102
1442	94
1443	111
1444	132
1445	119
1446	105
1447	135
1448	118
1449	108
144th	60
145	1714
1450	569
1451	117
1452	106
1453	199
1454	107
1455	144
1456	121
1457	114
1458	107
1459	131
145th	87
146	1149
1460	302
1461	156
1462	100
1463	122
1464	109
1465	103
1466	135
1467	98
1468	115
1469	112
146th	58
147	1101
1470	264
1471	141
1472	116
1473	122
1474	121
1475	146
1476	143
1477	137
1478	133
1479	108
147th	77
148	1084
1480	301
1480s	31
1481	113
1482	151
1483	140
1484	103
1485	207
1486	103
1487	114
1488	124
1489	106
148th	74
149	988
1490	375
1491	93
1492	294
1493	182
1494	146
1495	167
1496	145
1497	179
1498	186
1499	192
149th	87
14A	47
14km	36
14s	40
14th	7549
15	58341
150	9513
1500	2745
15000	108
1500m	135
1500s	252
1501	184
1502	200
1503	182
1504	186
1505	156
1506	164
1507	119
1508	154
1509	180
150km	31
150m	45
150th	435
151	1043
1510	230
1511	174
1512	216
1513	189
1514	177
1515	206
1516	194
1517	184
1518	144
1519	205
151st	67
152	1160
1520	334
1520s	48
1521	289
1522	222
1523	189
1524	236
1525	325
1526	331
1527	233
1528	203
1529	218
152nd	53
153	1086
1530	356
1530s	44
1531	187
1532	202
1533	169
1534	235
1535	282
1536	334
1537	230
1538	272
1539	318
153rd	55
154	1016
1540	442
1540s	44
1541	317
1542	259
1543	239
1544	214
1545	209
1546	159
1547	246
1548	234
1549	195
154th	62
155	1498
1550	427
1550s	53
1551	187
1552	232
1553	201
1554	192
1555	253
1556	229
1557	202
1558	239
1559	269
155mm	55
155th	77
156	1130
1560	367
1560s	56
1561	193
1562	188
1563	186
1564	202
1565	299
1566	219
1567	250
1568	252
1569	217
156th	57
157	957
1570	375
1570s	40
1571	269
1572	258
1573	187
1574	201
1575	231
1576	214
1577	198
1578	202
1579	207
157th	59
158	1061
1580	424
1580s	50
1581	211
1582	223
1583	208
1584	234
1585	252
1586	183
1587	233
1588	290
1589	181
158th	48
159	830
1590	340
1590s	71
1591	237
1592	297
1593	200
1594	203
1595	271
1596	261
1597	254
1598	318
1599	246
159th	68
15A	49
15km	139
15m	45
15s	59
15th	7318
16	48396
160	4038
1600	1523
16000	30
1600s	426
1601	261
1602	290
1603	381
1604	297
1605	335
1606	291
1607	330
1608	255
1609	371
160th	100
161	967
1610	406
1611	263
1612	266
1613	245
1614	282
1615	272
1616	253
1617	251
1618	311
1619	251
161st	81
162	1029
1620	389
1620s	83
1621	285
1622	320
1623	304
1624	267
1625	271
1626	256
1627	255
1628	238
1629	256
162nd	70
163	962
1630	429
1630s	95
1631	275
1632	372
1633	324
1634	410
1635	368
1636	344
1637	288
1638	355
1639	295
163rd	58
164	945
1640	441
1640s	83
1641	323
1642	400
1643	407
1644	415
1645	370
1646	274
1647	272
1648	526
1649	328
164th	76
165	1670
1650	526
1650s	89
1651	287
1652	270
1653	289
1654	294
1655	314
1656	285
1657	287
1658	334
1659	292
165th	45
166	915
1660	528
1660s	90
1661	334
1662	321
1663	264
1664	324
1665	386
1666	393
1667	322
1668	287
1669	262
166th	45
167	963
1670	416
1670s	69
1671	231
1672	325
1673	299
1674	270
1675	334
1676	316
1677	220
1678	267
1679	255
167th	69
168	1094
1680	435
1680s	70
1681	230
1682	300
1683	397
1684	272
1685	383
1686	286
1687	287
1688	444
1689	418
168th	70
169	995
1690	434
1690s	75
1691	260
1692	279
1693	328
1694	282
1695	263
1696	270
1697	325
1698	264
1699	334
169th	40
16A	30
16V	45
16km	69
16mm	218
16s	67
16th	7691
16v	56
17	43913
170	2607
1700	1210
1700s	687
1701	477
1702	350
1703	322
1704	342
1705	286
1706	247
1707	354
1708	345
1709	335
170th	66
171	825
1710	413
1711	288
1712	341
1713	379
1714	397
1715	424
1716	310
1717	316
1718	349
1719	324
171st	47
172	951
1720	487
1720s	88
1721	325
1722	358
1723	341
1724	308
1725	360
1726	266
1727	342
1728	315
1729	333
172nd	56
173	825
1730	458
1730s	123
1731	310
1732	330
1733	302
1734	336
1735	406
1736	333
1737	334
1738	314
1739	355
173rd	89
174	796
1740	534
1740s	122
1741	422
1742	449
1743	337
1744	338
1745	495
1746	425
1747	390
1748	457
1749	416
174th	54
175	1909
1750	772
1750s	144
1751	395
1752	417
1753	433
1754	452
1755	586
1756	487
1757	509
1758	514
1759	564
175th	85
176	889
1760	696
1760s	144
1761	531
1762	548
1763	773
1764	585
1765	624
1766	525
1767	555
1768	590
1769	602
176th	56
177	944
1770	889
1770s	198
1771	577
1772	815
1773	650
1774	806
1775	1131
1776	1309
1777	1047
1778	911
1779	879
177th	53
178	861
1780	1021
1780s	197
1781	939
1782	876
1783	1047
1784	900
1785	836
1786	762
1787	872
1788	979
1789	1237
178th	41
179	806
1790	1262
1790s	290
1791	1076
1792	1205
1793	1225
1794	1237
1795	1316
1796	1138
1797	1159
1798	1495
1799	1164
179th	66
17A	44
17K	38
17km	38
17s	73
17th	8076
18	77197
180	3775
1800	2512
18000	30
1800s	2505
1801	1477
1802	1334
1803	1638
1804	1278
1805	1357
1806	1595
1807	1284
1808	1291
1809	1376
180th	68
181	721
1810	1595
1810s	34
1811	1369
1812	2596
1813	1598
1814	1814
1815	2075
1816	1606
1817	1459
1818	1703
1819	1453
181st	41
182	891
1820	1795
1820s	590
1821	1666
1822	1371
1823	1458
1824	1612
1825	1700
1826	1500
1827	1512
1828	1610
1829	1651
182nd	37
183	1041
1830	2289
1830s	1008
1831	1832
1832	2034
1833	1769
1834	1933
1835	2160
1836	2300
1837	2380
1838	2436
1839	2237
183rd	39
184	804
1840	2772
1840s	1135
1841	2265
1842	2182
1843	2145
1844	2199
1845	2372
1846	2614
1847	2606
1848	3382
1849	2782
184th	61
185	1431
1850	3700
1850s	1551
1851	2911
1852	2745
1853	2789
1854	3099
1855	2970
1856	3097
1857	3280
1858	3085
1859	3109
185th	56
186	881
1860	4021
1860s	1572
1861	4500
1862	4353
1863	4195
1864	4343
1865	4430
1866	3697
1867	3669
1868	3570
1869	3445
186th	40
187	807
1870	4281
1870s	1599
1871	3996
1872	3669
1873	3535
1874	3564
1875	3623
1876	3769
1877	3455
1878	3688
1879	3593
187th	67
188	792
1880	4453
1880s	2175
1881	3956
1882	4025
1883	3801
1884	4149
1885	4226
1886	4042
1887	4270
1888	4352
1889	4744
188th	37
189	731
1890	5267
1890s	1877
1891	4514
1892	4470
1893	4484
1894	4777
1895	4784
1896	4776
1897	4712
1898	5070
1899	5069
189th	35
18A	34
18km	50
18s	98
18th	9414
19	38679
190	2343
1900	7366
1900s	1923
1901	5595
1902	5560
1903	5656
1904	5690
1905	6167
1906	6109
1907	6119
1908	6610
1909	5997
190s	51
190th	42
191	858
1910	7572
1910s	635
1911	7043
1912	7512
1913	7303
1914	8477
1915	7599
1916	7508
1917	8468
1918	8775
1919	8650
191st	33
192	923
1920	9466
1920s	7292
1921	7806
1922	8205
1923	8236
1924	8197
1925	8305
1926	8391
1927	8719
1928	8862
1929	9301
192nd	50
193	838
1930	10432
1930s	9525
1931	8710
1932	8770
1933	9384
1934	9556
1935	9854
1936	10343
1937	10207
1938	10890
1939	12681
193rd	43
194	757
1940	13014
1940s	6470
1941	12190
1942	12458
1943	11555
1944	12963
1945	17954
1946	13205
1947	13267
1948	13987
1949	12629
194th	35
195	1108
1950	14284
1950s	14224
1951	11930
1952	12730
1953	12851
1954	12925
1955	13231
1956	14221
1957	14102
1958	14761
1959	14571
195th	30
196	744
1960	17510
1960s	20229
1961	14934
1962	16358
1963	16321
1964	18254
1965	18563
1966	18410
1967	19534
1968	20945
1969	20801
196th	39
197	746
1970	22970
1970s	22517
1971	21221
1972	22646
1973	21246
1974	22993
1975	22303
1976	23012
1977	22085
1978	23568
1979	24840
197th	41
198	805
1980	27553
1980s	25195
1981	24863
1982	26541
1983	26566
1984	28158
1985	27847
1986	28811
1987	28944
1988	29556
1989	31347
198th	32
199	735
1990	34331
1990s	23578
1991	35444
1992	35151
1993	35136
1994	38149
1995	39852
1996	43209
1997	44261
1998	48115
1999	51742
199th	43
19km	38
19s	69
19th	15534
1A	419
1B	146
1C	82
1D	43
1GB	37
1M	32
1UP	62
1X	30
1Xtra	49
1a	40
1am	118
1er	38
1km	120
1m	81
1pm	153
1s	155
1st	16183
1x	52
1º	33
2	97477
20	61295
200	20145
2000	97624
20000	70
2000AD	59
2000m	33
2000s	4268
2000th	33
2001	69185
2002	62429
2003	69200
2004	89587
2005	97305
2006	122430
2007	122538
2008	99799
2009	11970
200km	45
200m	549
200s	33
200th	360
201	1085
2010	4872
2010s	31
2011	2021
2012	1737
2013	602
2014	430
2015	642
2016	259
2017	198
2018	172
2019	101
201st	57
202	1147
2020	575
2021	104
2022	70
2023	47
2024	55
2025	206
2026	67
2027	71
2028	45
2029	50
203	819
2030	240
2031	46
2032	57
2033	37
2035	50
2036	31
2037	38
203rd	31
204	764
2040	67
2042	30
2044	34
2046	38
2047	34
2048	56
2049	33
204th	45
205	1118
2050	146
205th	47
206	955
2060	31
2061	32
207	791
207th	46
208	846
2080	37
2084	44
208th	31
209	902
2097	41
2099	65
20A	64
20km	240
20m	83
20mm	116
20s	524
20th	16712
21	38349
210	1903
2100	359
211	823
2112	55
211th	35
212	897
2120	35
212th	32
213	863
214	708
2140	30
215	1077
2150	55
216	788
216th	33
217	783
218	701
219	729
21s	51
21st	6038
21th	45
22	37774
220	2301
2200	346
220th	36
221	734
222	800
223	582
2230	30
224	743
225	1417
2250	54
225th	39
226	634
227	728
227th	33
228	661
229	598
22d	64
22km	46
22nd	2933
22th	47
23	35574
230	1972
2300	303
230th	36
231	665
231st	32
232	655
233	604
234	612
235	917
2350	44
236	578
237	555
238	602
239	544
23d	87
23rd	2839
23th	52
24	72249
240	2220
2400	318
240th	34
241	622
241st	31
242	693
243	619
244	599
245	712
246	620
247	553
248	532
249	646
24km	30
24th	3003
25	77397
250	6616
2500	974
25000	45
2501	35
250cc	262
250m	31
250th	114
251	607
252	630
2525	33
253	558
254	634
255	754
2550	39
256	875
256th	35
257	492
258	540
259	540
25A	68
25kV	38
25km	88
25m	82
25mm	48
25th	4358
26	34183
260	1661
2600	539
261	562
262	684
263	489
264	524
265	751
2650	31
266	599
267	491
268	489
269	494
26th	2756
27	32878
270	1513
2700	187
271	478
272	540
273	500
274	465
275	1057
2750	37
276	522
277	493
278	520
279	492
27A	42
27th	2657
28	33700
280	1591
2800	203
281	580
282	561
283	540
284	424
285	752
286	526
287	661
288	471
289	459
28th	2613
29	30821
290	1036
2900	99
291	437
292	442
293	415
294	409
295	719
296	402
297	467
298	531
299	470
29th	2482
2A	344
2AM	30
2B	128
2C	50
2CD	212
2CV	42
2D	1001
2E	32
2F	32
2G	50
2GB	80
2K	129
2K7	30
2K8	34
2LP	35
2M	31
2PM	37
2Pac	193
2WD	56
2X	33
2a	35
2am	102
2b	30
2d	498
2fm	38
2km	178
2m	58
2na	33
2nd	15436
2pac	30
2pm	158
2s	127
2x	294
2x12	48
2x2	51
2xCD	33
3	83628
30	53314
300	11704
3000	2743
30000	41
3000m	40
3000th	30
3001	37
300m	79
300th	240
301	841
301st	78
302	637
302nd	35
303	622
303rd	31
304	571
304th	40
305	853
305th	51
306	498
306th	57
307	504
307th	45
308	521
308th	47
309	555
309th	49
30A	38
30km	134
30m	83
30mm	52
30s	509
30th	3433
31	32048
310	960
3100	93
310th	54
311	642
311th	30
312	568
312th	31
313	527
313th	45
314	566
314th	58
315	688
315th	55
